# a,b,resultado
10010000010011101011110000001101,01101110111101101101010000001111,00001000101110100110010110111101
10010000010011101011110000001101,01101110111101110110101000000111,10000110111011011111011101010110
00000111101011000011100111101000,10100010010011100111001011100011,00100000110101101010110001101100
11000111011011010001001111100001,01100000110011000111100001010010,11101101010001110001011101000000
00011000000000110011010100000001,00011011111100001110100001101101,10111010111001011110011000001100
10100011111111100001000000011001,00110011111010010010001011011101,00101111010001010011111011011011
01101010001110101001110101010011,11111011111101010011010010110101,00011011110111000001010110110000
11000011110111010001100010101101,01001011110100010110000010101001,10101010011010010111100000010111
10110010101101011000101001000110,11011000010111101000111100111001,11001010000110100110011001110011
10000101000011010100011110100011,10000000111010100010011111010010,10101000100100000011001110011101
01111001111101101111011000010111,00110101011100100000100000110011,10000100010011011011000100000010
01101011000100110000100111000101,01101010001001101001010000110010,10100111001101000100010011111010
11101101100010010011001101100000,01010111101010001011001000110111,10000111110100000001111111000111
10010110000000010010110010010111,01011101010111000011001000101010,10111010110011000101011010101111
00001001101111100110110100101001,10111110011010011101100100000010,01110101011111011001101011000010
01010111110001010110000111100110,11100010110110010011100010001101,11000111001011011100111101111001
11001001010100110100101101000011,10001101100111011000101110110001,10001010000010001011001111010010
11110101101111110110011111110000,00110110001100000101111100011110,10010001110001010000001000110000
11101110001100000101110010010000,01110101000110110010110011101101,00001110100000101010010110001100
11100001111111110001101101010100,10001101100100110100000100110001,00011010011101100001110001100011
00100101110001000000111110100011,01000111001100000110000000011000,01011110101000101001000111100101
10110111001111011110101000000111,00001010101110000100010000100010,10000101010100110100000000010111
01110011110100011111011011011101,00101101011101010110001010011110,01000010110110111110001110101001
01111011110101001110001001111110,10110100111001011010101100110010,01101111000101110010111010011010
00100100010000110101011110001101,01001010010011011001111010010010,01001110000010001101100010110101
11111000101100110000001101000110,01011111000011000100100101111101,10100100000110100000000011010110
00001111111001001100011110001011,00101110111101000110001101001010,10101110100111111011110011010001
01000000001101010001100100000110,01001011001110010100011000011110,10110011000001000111111000000011
10011100010110000101011001111111,11000110110110110010001110000110,00100001000100001110111100100100
10011000001110110011011111110110,01111111101000011010111100011100,11111100010100010001011110010110
